Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
0,4,3.0,2,South,2080.0,3 Aana,0 Aana,1 month ago,28000000,Lalitpur,Imadol,13,Gravelled
5,4,,1,South,,3 Aana,N/A Aana,1 month ago,29800000,Lalitpur,Imadol,16,
6,4,2.0,2,South,2080.0,4 anna 1 paisa Aana,N/A Aana,2 months ago,42500000,Lalitpur,Imadol,13,Paved
5,3,,0,West,2079.0,0.3.1.2 Aana,N/A Aana,6 months ago,29000000,Kathmandu,Kalanki,13,Gravelled
5,4,,1,East,,0-4.5 -0-0 Aana,3000 Sq. Feet,2 months ago,33000000,Lalitpur,Hattiban,23,
4,3,3.0,1,East,2022.0,4 Aana,1200+ Aana,1 week ago,35000000,Lalitpur,Sunakothi,13,Blacktopped
0,4,2.0,1,South,2080.0,4 aana Aana,o Aana,2 months ago,42500000,Lalitpur,Hattiban,13,
4,2,,1,East,2073.0,3 Aana,N/A Aana,4 years ago,15500000,Bhaktapur,Balkot,13,Gravelled
6,3,3.0,2,South,2075.0,0=4=1=0 Aana,2100 Sq. Feet,4 months ago,34000000,Kathmandu,Kageshwari-Manohara,20,Blacktopped
10,10,4.0,2,East,2078.0,0-8.52-0-0 Aana,0-4-0-0 Aana,5 months ago,120000000,Kathmandu,Dallu,13,Blacktopped
5,3,,1,North East,2069.0,4 Aana,N/A Aana,6 months ago,27500000,Kathmandu,Chhauni,12,Paved
6,4,3.0,1,South,2070.0,4 Aana,3000 Sq. Feet,3 years ago,32500000,Bhaktapur,Kausaltar,20,Gravelled
4,4,3.0,2,East,2080.0,3 Aana,0 Aana,1 month ago,27500000,Lalitpur,Imadol,13,Gravelled
2,1,1.0,2,North East,2080.0,3 aana 2 paisa Aana,0 Aana,1 month ago,18000000,Lalitpur,Tikathali,13,Gravelled
5,3,,0,North East,2080.0,3 Aana,N/A Aana,6 months ago,32500000,Kathmandu,Thulo Bharyang,12,Paved
6,5,3.0,1,South,,3-2 Aana,N/A Aana,1 week ago,35500000,Lalitpur,Imadol,13,
4,4,,1,South,,3 Aana,N/A Aana,1 week ago,26500000,Lalitpur,Imadol,13,Paved
4,4,2.0,2,West,2080.0,4 Aana,00 Aana,3 months ago,35000000,Lalitpur,Bhaisepati,20,Paved
0,2,2.5,1,North West,2079.0,3 Aana,N/A Sq. Feet,3 months ago,34000000,Kathmandu,Thulo Bharyang,13,Paved
5,5,,1,South East,2080.0,3.5 Aana,3000 Sq. Feet,1 month ago,45000000,Lalitpur,Sano Gaun,16,
0,0,3.0,2,South West,2080.0,5 aana 1 paisa Aana,0 Aana,1 month ago,55000000,Lalitpur,Imadol,16,Paved
