Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
8,4,3.0,1,East,2072.0,1710 Sq. Feet,4300 Sq. Feet,1 year ago,39800000,Bhaktapur,Madhyapur Thimi,13,Paved
0,0,,0,North,,9*18 Haat,N/A Sq. Feet,4 years ago,20000000,Surkhet,Surkhet Bazar,20,Blacktopped
0,0,3.0,0,North,,15 Dhur,N/A Dhur,4 years ago,15000000,Sunsari,Tarahara,15,Blacktopped
0,0,,0,West,,10 Dhur,N/A Dhur,4 years ago,10000000,Dharan,Dharan,15,Blacktopped
0,0,,0,North East,,52*52 Haat,N/A Haat,4 years ago,48000000,Chitwan,Bharatpur,20,
15,6,3.0,10,North,2075.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20,Blacktopped
3,3,6.0,1,North East,,1380 Sq. Feet,N/A Sq. Feet,3 years ago,17500000,Kathmandu,Tokha,0,
0,0,3.0,0,South East,,3.5 Ropani,N/A Ropani,4 years ago,180000000,Kathmandu,Maharajgunj,13,
24,22,4.0,3,East,,43 Dhur,16000 Dhur,4 years ago,4500000,Parsa,Birgunj,30,Blacktopped
0,0,,0,North,,9 Dhur,N/A Dhur,4 years ago,15000000,Sunsari,Itahari,20,Blacktopped
11,6,3.0,3,North,2019.0,10 Dhur,10 Dhur,4 years ago,23000000,Chitwan,Bharatpur,20,Blacktopped
0,0,,0,North,,6 Dhur,N/A Dhur,4 years ago,5000000,Chitwan,Bharatpur,20,Gravelled
0,0,2.0,0,East,,21 Dhur,N/A Dhur,4 years ago,19000000,Jhapa,Damak,15,Gravelled
3,1,1.0,0,North,,6 Dhur,N/A Dhur,4 years ago,6400000,Sunsari,Itahari,15,Soil Stabilized
0,0,,0,North,,2 Kattha,N/A Kattha,4 years ago,50000000,Chitwan,Bharatpur,20,Blacktopped
13,0,,0,East,,16*34 Haat,N/A Haat,4 years ago,26000000,Pokhara,Pokhara,20,Blacktopped
4,1,2.0,3,South,,10 Dhur,N/A Aana,4 years ago,20000000,Jhapa,Damak,20,Blacktopped
3,3,3.0,3,South,,10 Dhur,N/A Dhur,4 years ago,13500000,Chitwan,Bharatpur,20,Blacktopped
4,1,,0,North,2074.0,1 Kattha,N/A Kattha,4 years ago,3650000,Bardiya,Guleriya,14,Soil Stabilized
0,0,2.0,0,North,,16 Dhur,N/A Dhur,4 years ago,12500000,Dharan,Dharan,15,Blacktopped
2,1,1.0,0,South,,6 Dhur,N/A Dhur,4 years ago,5000000,Chitwan,Bharatpur,20,Blacktopped
0,0,,0,West,,5 Dhur,N/A Dhur,4 years ago,8000000,Dharan,Dharan,52,Blacktopped
0,0,,0,West,,5 Dhur,N/A Dhur,4 years ago,8500000,Dharan,Dharan,15,Gravelled
2,1,1.0,0,North,,18*35 Sq. Feet,N/A Sq. Feet,4 years ago,13500000,Pokhara,Pokhara,16,Gravelled
11,2,3.0,2,South,2018.0,817 Sq. Feet,0-4-0-2 Sq. Feet,4 years ago,15200000,Kavre,Dhulikhel,10,Gravelled
0,0,,0,South,,17*45 Haat,N/A Haat,4 years ago,12000000,Pokhara,Lekhnath,30,Gravelled
5,4,3.0,5,East,2076.0,2845 Sq. Feet,3420 Sq. Feet,4 years ago,35000000,Kathmandu,Budhanilkantha,12,Blacktopped
0,0,,0,North,,8 Dhur,N/A Dhur,4 years ago,16000000,Makwanpur,Hetauda,15,
