Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Build Up Area,Posted Date,Price,District,Location,Road Distance,Type of Road
8,4,4.0,1,West,2075.0,5 Aana,1700 Aana,2 years ago,29900000,Kathmandu,Goldhunga,10 Feet,Gravelled
4,4,3.0,1,West,2078.0,0-4-0-0 Aana,2300 Sq. Feet,2 months ago,45000000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
6,3,,2,South,,0-4-1-2 Aana,N/A Aana,2 years ago,18500000,Kathmandu,Tarkeshwor,10 Feet,Paved
6,5,3.0,2,North,2078.0,0-4-0-0 Aana,2300 Sq. Feet,2 years ago,33500000,Kathmandu,Budhanilkantha,13 Feet,Gravelled
0,0,,0,North,,9*18 Haat,N/A Sq. Feet,4 years ago,20000000,Surkhet,Surkhet Bazar,20 Feet,Blacktopped
11,3,3.0,0,North,,4 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Nepaltar,13 Feet,Blacktopped
4,3,2.0,0,East,,0-4-0-2 Aana,N/A Aana,4 years ago,10000000,Dhading,Dhading,7 Feet,Gravelled
10,6,3.0,4,East,,3.2 Aana,N/A Aana,4 years ago,24000000,Kathmandu,Pepsicola,13 Feet,
0,0,3.0,0,North,,15 Dhur,N/A Dhur,4 years ago,15000000,Sunsari,Tarahara,15 Feet,Blacktopped
4,5,2.5,2,South West,2080.0,0-8-1-0 Aana,3755 Sq. Feet,2 months ago,67700000,Kathmandu,Budhanilkantha,20 Feet,Blacktopped
0,0,,0,South,,0-2-2-0 Aana,N/A Aana,4 years ago,15000000,Lalitpur,Imadol,13 Feet,Gravelled
7,2,3.0,0,South,,0-3-3-2 Aana,N/A Aana,4 years ago,22500000,Lalitpur,Imadol,13 Feet,Gravelled
11,5,3.5,2,South,2052.0,0-4-0-0 Aana,N/A Aana,3 years ago,28500000,Kathmandu,Baneshwor,20 Feet,Blacktopped
0,0,3.0,0,South,,6 Aana,N/A Aana,4 years ago,37500000,Kathmandu,Hattigauda,20 Feet,
7,5,2.5,3,South East,,0-10-2-0 Aana,2700 Sq. Feet,4 months ago,80000000,Kathmandu,Budhanilkantha,23 Feet,Concrete
2,1,1.0,0,East,,0-3-3-3 Aana,N/A Aana,4 years ago,13000000,Lalitpur,Imadol,13 Feet,Gravelled
7,3,2.5,1,North,2066.0,0-5-0-0 Aana,N/A Aana,4 years ago,39000000,Kathmandu,Baluwatar,10 Feet,Blacktopped
2,1,1.0,3,East,,0-3-2-0 Aana,1198.033 Sq. Feet,2 days ago,17000000,Lalitpur,Tikathali,13 Feet,Blacktopped
6,3,3.0,2,East,2069.0,0-3-0-0 Aana,N/A Aana,3 years ago,19000000,Kathmandu,Boudha,8 Feet,Blacktopped
0,0,,0,West,,10 Dhur,N/A Dhur,4 years ago,10000000,Dharan,Dharan,15 Feet,Blacktopped
6,3,2.5,1,West,2080.0,0-3-0-0 Aana,N/A Aana,1 day ago,26000000,Lalitpur,Tikathali,13 Feet,Concrete
5,4,3.0,3,South,2078.0,0-3-2-0 Aana,2267 Aana,2 years ago,32500000,Kathmandu,Thulo Bharyang,13 Feet,Paved
9,0,3.0,0,South East,,3.5 Aana,N/A Aana,4 years ago,19800000,Kathmandu,Basundhara,12 Feet,Gravelled
8,3,,0,South,,0-3-0-0 Aana,N/A Aana,4 years ago,17000000,Lalitpur,Tikathali,13 Feet,Blacktopped
4,4,3.0,2,North East,2019.0,5 Aana,N/A Aana,4 years ago,30500000,Kathmandu,Budhanilkantha,15 Feet,Blacktopped
0,0,,0,East,,0-2-2-2 Aana,N/A Aana,4 years ago,8500000,Bhaktapur,Madhyapur Thimi,26 Feet,Soil Stabilized
5,5,3.0,1,South East,2080.0,0-4-2-0 Aana,2400 Aana,11 months ago,38500000,Kathmandu,Budhanilkantha,13 Feet,Gravelled
0,0,3.5,0,North,2065.0,0-6-2-0 Aana,4000 Aana,4 years ago,150000000,Kathmandu,Naxal,20 Feet,
7,6,,0,South West,,14 Aana,N/A Aana,4 years ago,72500000,Kathmandu,Basundhara,20 Feet,
