Bedroom,Bathroom,Floor,Parking,Property Face,Build Year(In B.S.),Area Covered(Sq.Feet),Posted Date(Moth Ago),Price(NRS.),District,Location,Road Distance(Feet),Type of Road
6,5,2.5,1,West,2068.0,1326.21,3,40000000,Kathmandu,Chhauni,13,Blacktopped
5,5,2.5,1,South East,,1026.75,1,27500000,Lalitpur,Imadol,12,Concrete
3,4,2.5,1,North East,,1369.0,9,34000000,Lalitpur,Imadol,18,Soil Stabilized
5,6,3.0,1,South,2080.0,1796.81,1,55000000,Lalitpur,Imadol,13,Paved
6,7,3.0,3,East,2077.0,3080.25,36,150000000,Lalitpur,Dhobighat,16,Gravelled
6,6,3.5,1,North,2080.0,1112.31,2,29000000,Lalitpur,Imadol,13,Concrete
4,3,3.0,1,North West,,1711.25,8,58500000,Lalitpur,Bhaisepati,20,Blacktopped
4,4,2.5,1,South,2080.0,1026.75,1,25200000,Lalitpur,Tikathali,13,Concrete
4,4,3.0,1,North,2078.0,1197.87,24,31500000,Lalitpur,Imadol,13,Gravelled
4,4,2.0,3,West,,1133.7,1,24500000,Lalitpur,Imadol,13,Gravelled
5,5,3.0,3,East,2069.0,3080.25,60,60000000,Lalitpur,Khumaltar,13,
4,4,2.0,2,South,,941.18,1,23500000,Lalitpur,Imadol,13,Paved
5,4,3.0,2,North,,1369.0,1,35000000,Lalitpur,Tikathali,13,Paved
5,3,2.5,1,South,2080.0,1818.2,2,42700000,Lalitpur,Sunakothi,20,Blacktopped
3,2,2.5,2,South,2070.0,1026.75,36,19000000,Lalitpur,Thaiba,20,Paved
6,3,3.0,1,East,2068.0,1882.37,36,31000000,Lalitpur,Imadol,12,Blacktopped
6,5,2.0,2,East,,1411.78,1,36500000,Kathmandu,Budhanilkantha,15,Gravelled
4,3,2.5,1,North East,,1604.29,5,51000000,Kathmandu,Budhanilkantha,20,Blacktopped
3,3,3.0,1,West,,1133.7,11,20000000,Bhaktapur,Madhyapur Thimi,20,
6,7,2.0,5,West,,1540.12,1,41500000,Lalitpur,Khumaltar,13,Blacktopped
4,3,3.0,1,South East,2079.0,1026.75,24,20000000,Bhaktapur,Bhaktapur,20,Blacktopped
4,3,3.0,1,South,2080.0,1112.31,1,26500000,Lalitpur,Mahalaxmisthan,13,Paved
5,5,2.0,3,East,,1155.09,1,35555555,Lalitpur,Imadol,13,Gravelled
6,6,3.0,1,North,2080.0,1283.43,2,29000000,Lalitpur,Imadol,13,Concrete
5,4,3.0,1,East,,3443.89,10,28000000,Bhaktapur,Lokanthali,12,Concrete
13,6,4.5,1,North,2067.0,1369.0,36,35000000,Lalitpur,Imadol,15,Blacktopped
9,5,3.0,3,East,2060.0,3422.5,36,62500000,Lalitpur,Manbhawan,13,Blacktopped
5,3,2.5,1,South,2080.0,1647.0700000000002,2,40300000,Lalitpur,Sunakothi,20,Blacktopped
5,6,3.0,4,South East,,1369.0,1,39500000,Lalitpur,Imadol,13,Paved
8,5,4.0,2,South,2078.0,1369.0,24,33500000,Lalitpur,Imadol,13,Gravelled
2,2,2.0,1,West,,1796.81,12,15000000,Bhaktapur,Dadikot,4,
5,4,2.0,4,South,,1026.75,1,21500000,Bhaktapur,Bhaktapur,13,Gravelled
5,4,2.5,1,East,2074.0,1197.87,3,33000000,Kathmandu,Swayambhu,13,Concrete
5,5,3.0,1,South,,1112.31,1,26500000,Lalitpur,Imadol,13,
5,4,2.0,4,North,,1369.0,1,35000000,Bhaktapur,Bhaktapur,13,Gravelled
4,3,2.5,1,South,2073.0,1026.75,36,20000000,Lalitpur,Sovahity,10,Concrete
9,5,2.0,11,East,2072.0,55102.25,36,230000001,Lalitpur,Lamatar,14,Paved
5,4,2.5,1,West,2080.0,1026.75,2,28500000,Lalitpur,Imadol,13,Concrete
5,4,2.5,1,South,,1390.39,3,37000000,Kathmandu,Sitapaila,10,Gravelled
5,3,2.5,1,South,2080.0,1475.95,2,36700000,Lalitpur,Sunakothi,20,Blacktopped
3,3,2.0,3,East,,1026.75,1,39500000,Lalitpur,Kupondole,18,Blacktopped
2,1,1.0,1,South,,1197.87,2,16000000,Lalitpur,Imadol,13,
7,3,3.0,1,East,2076.0,1197.87,48,22500000,Bhaktapur,Sipadol,10,Gravelled
4,4,3.0,1,North,2078.0,1026.75,24,23500000,Lalitpur,Imadol,13,Gravelled
5,4,3.0,1,South,2080.0,1112.31,2,29900000,Lalitpur,Imadol,13,Concrete
6,5,2.0,3,South East,,1454.56,1,38500000,Kathmandu,Budhanilkantha,18,Gravelled
7,4,2.5,1,South,,1112.31,3,27000000,Lalitpur,Imadol,20,Gravelled
7,3,3.0,1,North West,2069.0,1326.21,8,21500000,Bhaktapur,Suryabinayak,11,Blacktopped
6,6,3.5,1,North East,2080.0,1197.87,1,29500000,Lalitpur,Imadol,13,Concrete
5,9,2.0,4,East,,2395.75,36,70000000,Bhaktapur,Balkot,14,
