Bedroom,Bathroom,Floor,Parking,Property Face,Build Year,Area Covered,Posted Date,Price,District,Location,Road Distance,Type of Road
6,5,2.5,1,West,2068.0,1326.21,3 months ago,40000000,Kathmandu,Chhauni,13,Blacktopped
5,5,2.5,1,South East,,1026.75,4 days ago,27500000,Lalitpur,Imadol,12,Concrete
3,4,2.5,1,North East,,1369.0,9 months ago,34000000,Lalitpur,Imadol,18,Soil Stabilized
5,6,3.0,1,South,2080.0,1796.81,1 week ago,55000000,Lalitpur,Imadol,13,Paved
0,0,,0,West,,1026.75,2 years ago,12000000,Bhaktapur,Duwakot,6,
4,3,,1,South East,2080.0,1026.75,4 weeks ago,22500000,Lalitpur,Sano Gaun,13,
6,7,3.0,3,East,2077.0,3080.25,3 years ago,150000000,Lalitpur,Dhobighat,16,Gravelled
0,4,3.0,1,West,2081.0,1133.7,2 weeks ago,32500000,Lalitpur,Imadol,13,Gravelled
6,6,3.5,1,North,2080.0,1112.31,2 months ago,29000000,Lalitpur,Imadol,13,Concrete
4,3,3.0,1,North West,,1711.25,8 months ago,58500000,Lalitpur,Bhaisepati,20,Blacktopped
0,0,,0,East,,1369.0,2 years ago,40000000,Bhaktapur,Gatthaghar,15,
5,4,,1,West,,1026.75,2 months ago,38500000,Lalitpur,Jwagal,16,
4,4,2.5,1,South,2080.0,1026.75,4 days ago,25200000,Lalitpur,Tikathali,13,Concrete
4,4,3.0,1,North,2078.0,1197.87,2 years ago,31500000,Lalitpur,Imadol,13,Gravelled
4,4,2.0,3,West,,1133.7,2 weeks ago,24500000,Lalitpur,Imadol,13,Gravelled
0,0,5.0,0,South,2075.0,2224.62,4 years ago,75000000,Bhaktapur,Gatthaghar,20,Blacktopped
5,5,3.0,3,East,2069.0,3080.25,5 years ago,60000000,Lalitpur,Khumaltar,13,
6,4,,2,North East,,1796.81,6 months ago,68000000,Kathmandu,Sinamangal,12,
4,4,2.0,2,South,,941.18,3 days ago,23500000,Lalitpur,Imadol,13,Paved
7,7,,1,North,2079.0,1026.75,1 week ago,45000000,Lalitpur,Imadol,13,
0,0,,0,West,,1711.25,2 years ago,24000000,Bhaktapur,Duwakot,13,
0,0,,0,East,,1369.0,2 years ago,21500000,Bhaktapur,Balkot,13,
5,4,3.0,2,North,,1369.0,2 weeks ago,35000000,Lalitpur,Tikathali,13,Paved
0,0,4.0,0,South West,,1903.76,4 months ago,60000000,Kathmandu,Kalanki,20,Blacktopped
0,0,,0,West,,1369.0,2 years ago,22500000,Bhaktapur,Suryabinayak,0,
5,3,2.5,1,South,2080.0,1818.2,2 months ago,42700000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,West,,1369.0,3 years ago,17000000,Bhaktapur,Bhaktapur,13,Gravelled
3,2,2.5,2,South,2070.0,1026.75,3 years ago,19000000,Lalitpur,Thaiba,20,Paved
0,0,,0,East,,1026.75,2 years ago,12000000,Bhaktapur,Bhaktapur,0,
6,3,3.0,1,East,2068.0,1882.37,3 years ago,31000000,Lalitpur,Imadol,12,Blacktopped
6,5,2.0,2,East,,1411.78,1 day ago,36500000,Kathmandu,Budhanilkantha,15,Gravelled
3,2,,1,South,2075.0,1454.56,5 years ago,29000000,Lalitpur,Bhaisepati,15,
4,3,2.5,1,North East,,1604.29,5 months ago,51000000,Kathmandu,Budhanilkantha,20,Blacktopped
3,3,3.0,1,West,,1133.7,11 months ago,20000000,Bhaktapur,Madhyapur Thimi,20,
0,0,,0,East,,1026.75,2 years ago,11500000,Bhaktapur,Duwakot,0,
0,0,,0,West,,2738.0,3 years ago,28500000,Bhaktapur,Sirutar,13,
6,7,2.0,5,West,,1540.12,2 weeks ago,41500000,Lalitpur,Khumaltar,13,Blacktopped
4,3,3.0,1,South East,2079.0,1026.75,2 years ago,20000000,Bhaktapur,Bhaktapur,20,Blacktopped
4,3,3.0,1,South,2080.0,1112.31,1 week ago,26500000,Lalitpur,Mahalaxmisthan,13,Paved
5,5,2.0,3,East,,1155.09,2 weeks ago,35555555,Lalitpur,Imadol,13,Gravelled
6,6,3.0,1,North,2080.0,1283.43,2 months ago,29000000,Lalitpur,Imadol,13,Concrete
5,4,3.0,1,East,,3443.89,10 months ago,28000000,Bhaktapur,Lokanthali,12,Concrete
13,6,4.5,1,North,2067.0,1369.0,3 years ago,35000000,Lalitpur,Imadol,15,Blacktopped
0,0,,0,West,2064.0,855.62,2 years ago,15000000,Bhaktapur,Sallaghari,9,
9,5,3.0,3,East,2060.0,3422.5,3 years ago,62500000,Lalitpur,Manbhawan,13,Blacktopped
5,3,2.5,1,South,2080.0,1647.0700000000002,2 months ago,40300000,Lalitpur,Sunakothi,20,Blacktopped
5,6,3.0,4,South East,,1369.0,1 week ago,39500000,Lalitpur,Imadol,13,Paved
8,5,4.0,2,South,2078.0,1369.0,2 years ago,33500000,Lalitpur,Imadol,13,Gravelled
2,2,2.0,1,West,,1796.81,1 year ago,15000000,Bhaktapur,Dadikot,4,
5,4,2.0,4,South,,1026.75,1 week ago,21500000,Bhaktapur,Bhaktapur,13,Gravelled
5,4,2.5,1,East,2074.0,1197.87,3 months ago,33000000,Kathmandu,Swayambhu,13,Concrete
5,5,3.0,1,South,,1112.31,1 week ago,26500000,Lalitpur,Imadol,13,
0,0,,0,East,,1197.87,2 years ago,14500000,Bhaktapur,Sirutar,12,
5,4,2.0,4,North,,1369.0,1 week ago,35000000,Bhaktapur,Bhaktapur,13,Gravelled
0,13,5.0,12,South East,2073.0,3764.75,5 years ago,110000000,Kathmandu,Pepsicola,23,
4,3,2.5,1,South,2073.0,1026.75,3 years ago,20000000,Lalitpur,Sovahity,10,Concrete
9,5,2.0,11,East,2072.0,55102.25,3 years ago,230000001,Lalitpur,Lamatar,14,Paved
0,0,1.0,0,East,,941.18,3 years ago,11800000,Bhaktapur,Sipadol,13,Gravelled
0,0,,0,East,,1369.0,2 years ago,11000000,Bhaktapur,Bhaktapur,10,
0,0,,0,West,,1155.09,3 years ago,15000000,Bhaktapur,Duwakot,12,
0,0,,0,East,,2738.0,3 years ago,28500000,Bhaktapur,Sirutar,13,
5,4,2.5,1,West,2080.0,1026.75,2 months ago,28500000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,1026.75,3 years ago,11000000,Bhaktapur,Suryabinayak,20,Gravelled
5,4,2.5,1,South,,1390.39,3 months ago,37000000,Kathmandu,Sitapaila,10,Gravelled
5,3,2.5,1,South,2080.0,1475.95,2 months ago,36700000,Lalitpur,Sunakothi,20,Blacktopped
3,3,2.0,3,East,,1026.75,1 week ago,39500000,Lalitpur,Kupondole,18,Blacktopped
0,0,,0,East,,1369.0,3 years ago,2600000,Bhaktapur,Changunarayan,20,Gravelled
6,5,,1,South,2080.0,1026.75,2 months ago,28000000,Lalitpur,Imadol,13,
0,0,,0,West,,1112.31,3 years ago,13000000,Bhaktapur,Suryabinayak,13,Gravelled
2,1,1.0,1,South,,1197.87,2 months ago,16000000,Lalitpur,Imadol,13,
7,3,3.0,1,East,2076.0,1197.87,4 years ago,22500000,Bhaktapur,Sipadol,10,Gravelled
0,0,,0,East,,1540.12,2 years ago,10000000,Bhaktapur,Suryabinayak,0,
4,3,,1,North East,2074.0,1369.0,2 months ago,36500000,Lalitpur,Bhaisepati,13,
4,4,3.0,1,North,2078.0,1026.75,2 years ago,23500000,Lalitpur,Imadol,13,Gravelled
5,4,3.0,1,South,2080.0,1112.31,2 months ago,29900000,Lalitpur,Imadol,13,Concrete
0,0,,0,East,,1026.75,2 years ago,11500000,Bhaktapur,Duwakot,12,
6,5,2.0,3,South East,,1454.56,1 day ago,38500000,Kathmandu,Budhanilkantha,18,Gravelled
4,4,,1,North,2080.0,1411.78,3 months ago,37500000,Kathmandu,Sano Bharyang,20,Gravelled
7,4,2.5,1,South,,1112.31,3 months ago,27000000,Lalitpur,Imadol,20,Gravelled
7,3,3.0,1,North West,2069.0,1326.21,8 months ago,21500000,Bhaktapur,Suryabinayak,11,Blacktopped
6,6,3.5,1,North East,2080.0,1197.87,4 days ago,29500000,Lalitpur,Imadol,13,Concrete
5,9,2.0,4,East,,2395.75,3 years ago,70000000,Bhaktapur,Balkot,14,
5,3,3.0,4,North East,,5818.25,2 weeks ago,140000000,Lalitpur,Bhaisepati,20,Blacktopped
2,3,3.0,1,North East,2073.0,1347.6,2 years ago,27000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,West,,2053.5,3 years ago,11000000,Bhaktapur,Bhaktapur,18,Gravelled
0,0,,0,West,,1026.75,3 years ago,14000000,Bhaktapur,Kharipati,20,Gravelled
4,4,2.0,3,North,,855.62,4 days ago,22000000,Lalitpur,Imadol,13,Paved
0,0,,0,West,,1197.87,3 years ago,17500000,Bhaktapur,Suryabinayak,13,
7,4,,2,South East,,1882.37,4 weeks ago,53500000,Lalitpur,Imadol,13,
6,4,2.5,3,West,2076.0,1369.0,4 years ago,21500000,Lalitpur,Tikathali,20,Concrete
5,3,2.0,2,South East,2080.0,1026.75,3 months ago,21500000,Bhaktapur,Bhaktapur,13,Blacktopped
5,3,2.5,1,South,2080.0,1475.95,2 months ago,36400000,Lalitpur,Sunakothi,20,Blacktopped
6,4,3.5,2,South East,,1711.25,1 month ago,49000000,Lalitpur,Dhapakhel,16,Concrete
4,3,2.0,3,South,,1112.31,1 week ago,26500000,Lalitpur,Imadol,12,Paved
4,2,2.5,3,South,,6845.0,4 years ago,90000000,Lalitpur,Dhobighat,16,Blacktopped
5,4,3.0,4,South,,1069.53,1 week ago,26500000,Lalitpur,Imadol,16,Gravelled
5,4,3.0,1,East,,1112.31,1 week ago,32000000,Lalitpur,Imadol,13,Paved
5,3,2.0,4,East,,1369.0,1 day ago,27000000,Kathmandu,Budhanilkantha,8,Gravelled
4,4,3.0,1,East,2078.0,1026.75,2 years ago,21000000,Lalitpur,Imadol,13,Gravelled
0,0,,0,South,,983.96,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
0,0,,0,South,,941.18,3 years ago,12200000,Bhaktapur,Suryabinayak,0,
4,5,2.0,4,North,,2139.05,2 weeks ago,65000000,Lalitpur,Bhaisepati,13,Paved
4,3,2.0,0,East,2077.0,1026.75,10 months ago,17500000,Bhaktapur,Bageshwori,20,Soil Stabilized
6,3,3.0,1,East,2080.0,1219.26,2 weeks ago,22500000,Lalitpur,Tikathali,13,Paved
4,4,2.5,1,West,2080.0,1026.75,4 weeks ago,24000000,Lalitpur,Imadol,13,Blacktopped
5,3,2.5,1,East,2080.0,2032.1,2 months ago,44800000,Lalitpur,Sunakothi,20,Blacktopped
2,1,1.35,1,North East,2076.0,1197.87,4 years ago,13000000,Lalitpur,Imadol,10,Gravelled
5,3,2.5,1,East,2080.0,1647.0700000000002,2 months ago,39000000,Lalitpur,Sunakothi,20,Blacktopped
0,0,2.5,0,East,,1026.75,3 years ago,15000000,Bhaktapur,Duwakot,13,Blacktopped
7,4,3.0,2,North,,1540.12,1 year ago,31000000,Bhaktapur,Sipadol,20,
2,1,1.0,3,West,,898.4,1 week ago,14500000,Lalitpur,Imadol,13,Paved
5,3,3.0,1,South East,,1048.14,2 years ago,18000000,Bhaktapur,Changunarayan,13,
0,0,,0,East,,1026.75,3 years ago,17000000,Bhaktapur,Balkot,13,
4,4,2.5,1,South,,1026.75,8 months ago,25500000,Lalitpur,Imadol,13,Paved
3,4,3.0,1,South,,941.18,1 week ago,25000000,Lalitpur,Tikathali,13,Paved
5,6,3.0,4,South,,1283.43,1 week ago,35000000,Lalitpur,Imadol,13,Gravelled
5,3,2.5,1,South,2080.0,3251.37,2 months ago,83500000,Lalitpur,Sunakothi,20,Blacktopped
0,0,,0,East,,1369.0,2 years ago,11500000,Bhaktapur,Sudal,10,
4,4,2.5,1,South,2080.0,941.18,2 months ago,23700000,Lalitpur,Imadol,13,Concrete
0,0,,0,West,,1711.25,2 years ago,28000000,Bhaktapur,Lokanthali,12,
0,0,,0,West,,1197.87,2 years ago,7500000,Bhaktapur,Bhaktapur,20,
3,3,2.0,2,West,2080.0,1026.75,3 months ago,26500000,Lalitpur,Tikathali,13,Paved
5,4,,4,North,,2759.39,2 weeks ago,33500000,Lalitpur,Imadol,13,Paved
5,4,,1,North,,1026.75,2 months ago,32500000,Lalitpur,Imadol,20,
6,2,2.0,0,South,2068.0,941.18,1 year ago,24500000,Kathmandu,Kapan,24,Blacktopped
8,4,4.0,1,West,,1369.0,8 months ago,38000000,Lalitpur,Dhapakhel,20,Soil Stabilized
0,0,2.0,0,North,2072.0,1197.87,4 years ago,15500000,Kathmandu,Gothatar,13,Blacktopped
5,4,,1,East,,1155.09,1 month ago,32000000,Lalitpur,Imadol,13,
5,4,3.0,1,South East,2080.0,1390.39,1 week ago,33500000,Lalitpur,Mahalaxmisthan,13,Blacktopped
5,4,2.0,2,South West,,2395.75,1 day ago,48000000,Kathmandu,Maharajgunj,13,Gravelled
